Albania,1002
Algeria,1002
Australia,1001
Australia,1002
Australia,1003
Australia,1004
Austria,1002
Belgium,1002
Brunei,1001
Brunei,1002
Brunei,1003
Brunei,1004
Cambodia,1001
Cambodia,1002
Cambodia,1003
Cambodia,1004
Canada,1002
China,1001
China,1002
China,1003
China,1004
China,2001
Croatia,1002
Czech,1002
Darussalam,1001
Darussalam,1002
Darussalam,1003
Darussalam,1004
Denmark,1002
East Timor,1002
Estonia,1002
Finland,1002
France,1002
Germany,1002
Ghana,1002
Greece,1002
Hong Kong,1001
Hong Kong,1002
Hong Kong,1003
Hong Kong,1004
Hungary,1002
India,1001
India,1002
India,1003
India,1004
Ireland,1002
Italy,1002
Japan,1001
Japan,1002
Japan,1003
Japan,1004
Kuwait,1001
Kuwait,1002
Kuwait,1003
Kuwait,1004
Lithuania,1002
Macao,1001
Macao,1002
Macao,1003
Macao,1004
Malaysia,1001
Malaysia,1002
Malaysia,1003
Malaysia,1004
Malaysia,2005
Maldives,2003
Malta,1002
Myanmar,1001
Myanmar,1002
Myanmar,1003
Myanmar,1004
Netherlands,1002
New Zealand,1001
New Zealand,1002
New Zealand,1003
New Zealand,1004
Norway,1002
Oman,1001
Oman,1002
Oman,1003
Oman,1004
Papua New Guinea,1002
Philippines,1001
Philippines,1002
Philippines,1003
Philippines,1004
Poland,1002
Portugal,1002
Qatar,1002
Qatar,2004
Romania,1002
Russia,1002
Singapore,1001
Singapore,1002
Singapore,1003
Singapore,1004
South Africa,1002
South Korea,1001
South Korea,1002
South Korea,1003
South Korea,1004
Spain,1002
Sweden,1002
Switzerland,1002
Taiwan,1001
Taiwan,1002
Taiwan,1003
Taiwan,1004
Thailand,1001
Thailand,1002
Thailand,1003
Thailand,1004
Tunisia,1002
Turkey,1002
UAE,1002
UAE,2006
UK,1002
USA,1002
USA,2007
Vietnam,1001
Vietnam,1002
Vietnam,1003
Vietnam,1004
